Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,7d Change,Market Cap,Volume,Circulating Supply,Extraction Time
15,Polkadot,DOT,$9.07,-1.19%,5.28%,12.58%,"$13,869,836,364","$618,655,821","1,528,717,319 DOT",2024-12-15 17:15:10
16,Sui,SUI,$4.59,-0.20%,0.82%,10.04%,"$13,447,594,931","$1,309,625,908","2,927,660,019 SUI",2024-12-15 17:15:10
17,Stellar,XLM,$0.4289,-0.30%,2.23%,12.21%,"$12,943,532,289","$442,799,754","30,177,015,105 XLM",2024-12-15 17:15:10
18,Hedera,HBAR,$0.2928,-0.72%,-0.69%,11.42%,"$11,196,950,375","$582,145,030","38,238,361,609 HBAR",2024-12-15 17:15:10
19,Bitcoin Cash,BCH,$540.64,-0.40%,2.24%,12.80%,"$10,705,898,287","$410,977,529","19,802,244 BCH",2024-12-15 17:15:10
20,Uniswap,UNI,$17.00,0.23%,1.51%,8.56%,"$10,210,938,248","$552,085,125","600,483,074 UNI",2024-12-15 17:15:10
21,Pepe,PEPE,$0.00002371,-0.28%,0.92%,7.31%,"$9,973,637,808","$1,503,733,467","420,689,899,999,995 PEPE",2024-12-15 17:15:10
22,Litecoin,LTC,$119.90,-0.27%,0.80%,10.71%,"$9,029,227,025","$762,485,593","75,309,337 LTC",2024-12-15 17:15:10
23,UNUS SED LEO,LEO,$9.35,-0.21%,-0.63%,1.41%,"$8,645,834,647","$302,803","924,520,495 LEO",2024-12-15 17:15:10
24,NEAR Protocol,NEAR,$6.83,-0.22%,3.51%,11.05%,"$8,313,805,947","$321,322,753","1,217,906,155 NEAR",2024-12-15 17:15:10
25,Aptos,APT,$13.56,-0.82%,-0.18%,6.71%,"$7,525,478,966","$333,044,052","555,045,067 APT",2024-12-15 17:15:10
26,Internet Computer,ICP,$13.16,-0.49%,2.11%,8.95%,"$6,264,820,256","$198,907,050","475,876,993 ICP",2024-12-15 17:15:10
27,Ethena USDe,USDe,$1.00,0.01%,-0.03%,0.09%,"$5,844,451,691","$77,407,484","5,838,374,343 USDe",2024-12-15 17:15:10
28,Aave,AAVE,$371.75,1.58%,0.01%,33.10%,"$5,581,473,096","$863,925,718","15,013,994 AAVE",2024-12-15 17:15:10
29,Dai,DAI,$0.9999,0.01%,-0.01%,0.05%,"$5,365,029,690","$98,610,972","5,365,382,703 DAI",2024-12-15 17:15:10
30,POL (ex-MATIC),POL,$0.6104,-0.29%,2.60%,13.52%,"$5,104,593,693","$228,760,439","8,362,848,330 POL",2024-12-15 17:15:10
31,Ethereum Classic,ETC,$33.02,-0.45%,1.52%,10.52%,"$4,952,136,521","$326,201,851","149,955,321 ETC",2024-12-15 17:15:10
32,Render,RENDER,$9.29,0.03%,2.96%,8.95%,"$4,810,129,826","$430,468,348","517,690,759 RENDER",2024-12-15 17:15:10
33,Cronos,CRO,$0.1808,-0.05%,2.89%,9.75%,"$4,804,780,834","$33,035,877","26,571,560,696 CRO",2024-12-15 17:15:10
34,VeChain,VET,$0.05857,0.27%,3.06%,13.55%,"$4,743,637,991","$100,872,973","80,985,041,177 VET",2024-12-15 17:15:10
35,Artificial Superintelligence Alliance,FET,$1.76,-0.21%,2.30%,14.02%,"$4,299,005,632","$265,146,481","2,436,109,048 FET",2024-12-15 17:15:10
36,Bitget Token,BGB,$3.05,0.22%,-4.15%,13.40%,"$4,270,900,498","$196,489,774","1,400,000,000 BGB",2024-12-15 17:15:10
37,Bittensor,TAO,$567.99,-0.50%,0.97%,19.16%,"$4,192,273,047","$246,448,688","7,380,936 TAO",2024-12-15 17:15:10
38,Mantle,MNT,$1.24,-0.26%,1.36%,6.67%,"$4,160,198,158","$97,550,173","3,366,841,708 MNT",2024-12-15 17:15:10
39,Arbitrum,ARB,$1.00,-0.45%,1.40%,13.55%,"$4,098,573,412","$433,295,675","4,097,359,817 ARB",2024-12-15 17:15:10
40,Filecoin,FIL,$6.68,-0.54%,3.95%,13.96%,"$4,085,333,482","$304,616,796","611,248,487 FIL",2024-12-15 17:15:10
41,Monero,XMR,$217.75,1.11%,3.65%,8.77%,"$4,016,691,285","$103,383,635","18,446,744 XMR",2024-12-15 17:15:10
42,Kaspa,KAS,$0.1572,-0.07%,0.64%,14.83%,"$3,986,119,226","$120,642,841","25,359,614,040 KAS",2024-12-15 17:15:10
43,Fantom,FTM,$1.32,1.15%,7.19%,2.76%,"$3,693,525,752","$351,431,430","2,803,634,836 FTM",2024-12-15 17:15:10
44,MANTRA,OM,$3.87,0.00%,-1.75%,3.24%,"$3,660,787,296","$72,693,391","945,234,804 OM",2024-12-15 17:15:10
45,Stacks,STX,$2.41,-0.23%,8.99%,10.08%,"$3,622,378,212","$245,343,789","1,504,897,587 STX",2024-12-15 17:15:10
46,Cosmos,ATOM,$9.17,-0.70%,4.11%,9.13%,"$3,584,709,686","$280,412,331","390,934,204 ATOM",2024-12-15 17:15:10
47,Algorand,ALGO,$0.43,-0.25%,4.08%,13.00%,"$3,576,606,890","$273,107,982","8,318,395,171 ALGO",2024-12-15 17:15:10
48,Ethena,ENA,$1.22,2.89%,24.68%,21.05%,"$3,595,360,306","$1,153,362,025","2,937,500,000 ENA",2024-12-15 17:15:10
49,OKB,OKB,$54.62,0.79%,1.37%,7.68%,"$3,277,197,349","$2,949,666","60,000,000 OKB",2024-12-15 17:15:10
50,Celestia,TIA,$6.93,-0.45%,3.20%,17.18%,"$3,145,151,500","$147,477,021","453,930,660 TIA",2024-12-15 17:15:10
51,Optimism,OP,$2.50,-0.69%,-0.60%,6.61%,"$3,139,043,041","$373,254,897","1,255,070,491 OP",2024-12-15 17:15:10
52,Immutable,IMX,$1.85,-1.03%,1.97%,9.72%,"$3,138,632,737","$83,071,750","1,694,765,880 IMX",2024-12-15 17:15:10
53,dogwifhat,WIF,$2.87,-0.07%,1.50%,22.23%,"$2,867,447,126","$298,258,036","998,844,835 WIF",2024-12-15 17:15:10
54,Bonk,BONK,$0.00003691,-0.01%,0.88%,19.24%,"$2,794,678,195","$240,938,471","75,717,387,344,326 BONK",2024-12-15 17:15:10
55,Injective,INJ,$28.21,0.31%,2.95%,14.16%,"$2,791,745,960","$113,443,316","98,970,935 INJ",2024-12-15 17:15:10
56,Theta Network,THETA,$2.72,-0.71%,4.10%,9.88%,"$2,716,006,509","$57,275,358","1,000,000,000 THETA",2024-12-15 17:15:10
57,The Graph,GRT,$0.2841,-0.52%,5.43%,11.71%,"$2,712,814,491","$98,404,685","9,548,531,509 GRT",2024-12-15 17:15:10
58,Ondo,ONDO,$1.87,0.64%,1.04%,11.07%,"$2,598,446,063","$220,057,611","1,389,759,838 ONDO",2024-12-15 17:15:10
59,Virtuals Protocol,VIRTUAL,$2.47,1.23%,-3.65%,41.39%,"$2,469,779,175","$173,983,543","1,000,000,000 VIRTUAL",2024-12-15 17:15:10
60,Sei,SEI,$0.5864,-0.19%,2.29%,14.77%,"$2,467,609,429","$203,659,896","4,207,777,777 SEI",2024-12-15 17:15:10
61,Worldcoin,WLD,$3.04,-0.63%,4.77%,18.61%,"$2,352,864,008","$354,286,784","774,574,508 WLD",2024-12-15 17:15:10
62,JasmyCoin,JASMY,$0.04602,0.04%,6.24%,3.22%,"$2,273,195,010","$244,750,947","49,394,999,677 JASMY",2024-12-15 17:15:10
63,THORChain,RUNE,$6.44,-0.35%,4.25%,12.28%,"$2,214,000,930","$229,969,450","343,773,427 RUNE",2024-12-15 17:15:10
64,FLOKI,FLOKI,$0.0002306,-0.12%,-0.94%,9.76%,"$2,213,540,308","$1,124,865,057","9,598,342,255,063 FLOKI",2024-12-15 17:15:10
65,First Digital USD,FDUSD,$0.9991,-0.02%,-0.31%,0.05%,"$2,031,033,190","$5,050,243,716","2,032,769,625 FDUSD",2024-12-15 17:15:10
66,Lido DAO,LDO,$2.29,3.06%,4.86%,5.83%,"$2,052,091,342","$265,621,913","896,268,511 LDO",2024-12-15 17:15:10
67,Gala,GALA,$0.05099,-0.04%,4.28%,17.10%,"$1,863,476,095","$260,094,246","36,548,984,096 GALA",2024-12-15 17:15:10
68,The Sandbox,SAND,$0.7524,0.09%,2.76%,17.00%,"$1,828,599,092","$356,009,885","2,430,232,126 SAND",2024-12-15 17:15:10
69,Maker,MKR,"$1,958.07",0.29%,-1.05%,9.38%,"$1,744,447,289","$114,024,068","890,901 MKR",2024-12-15 17:15:10
70,Kaia,KAIA,$0.2937,-0.45%,4.70%,8.28%,"$1,731,372,139","$171,238,719","5,894,513,777 KAIA",2024-12-15 17:15:10
71,Beam,BEAM,$0.03504,0.13%,2.04%,0.54%,"$1,733,308,705","$46,925,475","49,466,004,168 BEAM",2024-12-15 17:15:10
72,Brett (Based),BRETT,$0.1692,-0.38%,0.86%,20.07%,"$1,676,707,283","$48,989,216","9,910,236,395 BRETT",2024-12-15 17:15:10
73,Flare,FLR,$0.03063,0.32%,2.38%,2.75%,"$1,676,961,214","$15,011,228","54,748,784,097 FLR",2024-12-15 17:15:10
74,Quant,QNT,$138.06,-0.18%,0.09%,14.60%,"$1,666,720,300","$28,535,882","12,072,738 QNT",2024-12-15 17:15:10
75,EOS,EOS,$1.08,-0.65%,4.14%,18.05%,"$1,654,396,664","$238,626,641","1,533,814,438 EOS",2024-12-15 17:15:10
76,Pyth Network,PYTH,$0.4537,-0.58%,5.85%,11.96%,"$1,644,578,606","$111,916,121","3,624,988,786 PYTH",2024-12-15 17:15:10
77,Helium,HNT,$9.37,0.33%,7.87%,3.94%,"$1,638,611,568","$98,524,758","174,845,577 HNT",2024-12-15 17:15:10
78,KuCoin Token,KCS,$13.17,-0.02%,-1.84%,4.00%,"$1,583,938,288","$1,522,212","120,225,681 KCS",2024-12-15 17:15:10
79,Tezos,XTZ,$1.52,1.93%,7.80%,13.03%,"$1,546,969,538","$71,211,634","1,018,680,591 XTZ",2024-12-15 17:15:10
80,Raydium,RAY,$5.31,0.45%,-1.09%,4.70%,"$1,543,737,949","$106,335,536","290,912,824 RAY",2024-12-15 17:15:10
81,Ethereum Name Service,ENS,$43.63,-0.10%,5.09%,5.38%,"$1,533,437,418","$515,049,612","35,144,092 ENS",2024-12-15 17:15:10
82,Jupiter,JUP,$1.10,0.10%,2.12%,17.36%,"$1,486,373,549","$97,740,045","1,350,000,000 JUP",2024-12-15 17:15:10
83,Flow,FLOW,$0.9551,-0.22%,2.45%,18.39%,"$1,480,960,706","$78,624,617","1,550,566,852 FLOW",2024-12-15 17:15:10
84,Arweave,AR,$22.16,-0.95%,2.13%,17.28%,"$1,454,839,687","$102,219,780","65,652,466 AR",2024-12-15 17:15:10
85,Aerodrome Finance,AERO,$2.04,0.15%,1.12%,6.37%,"$1,447,233,238","$53,017,952","710,146,664 AERO",2024-12-15 17:15:10
86,Starknet,STRK,$0.6371,-0.34%,2.89%,17.70%,"$1,439,359,447","$101,406,803","2,259,283,720 STRK",2024-12-15 17:15:10
87,Movement,MOVE,$0.6335,1.14%,1.93%,4.65%,"$1,425,309,328","$303,401,254","2,250,000,000 MOVE",2024-12-15 17:15:10
88,Curve DAO Token,CRV,$1.14,2.17%,-0.99%,5.85%,"$1,428,978,329","$487,835,012","1,252,590,273 CRV",2024-12-15 17:15:10
89,IOTA,IOTA,$0.3951,-0.20%,1.53%,15.95%,"$1,404,489,985","$43,227,943","3,554,846,536 IOTA",2024-12-15 17:15:10
90,dYdX (Native),DYDX,$2.15,1.91%,4.91%,19.93%,"$1,385,128,059","$76,686,597","643,931,707 DYDX",2024-12-15 17:15:10
91,MultiversX,EGLD,$47.44,-0.69%,3.78%,12.31%,"$1,312,164,730","$66,790,551","27,658,722 EGLD",2024-12-15 17:15:10
92,Bitcoin SV,BSV,$66.26,-0.35%,2.77%,16.28%,"$1,311,886,136","$67,151,459","19,797,675 BSV",2024-12-15 17:15:10
93,Neo,NEO,$18.25,-0.02%,2.93%,13.37%,"$1,287,466,073","$45,956,014","70,538,831 NEO",2024-12-15 17:15:10
94,Core,CORE,$1.38,-0.56%,-1.47%,9.61%,"$1,282,198,309","$60,080,747","928,985,043 CORE",2024-12-15 17:15:10
95,BitTorrent [New],BTT,$0.051324,-0.34%,1.19%,15.05%,"$1,281,482,227","$30,716,066","968,246,428,571,000 BTT",2024-12-15 17:15:10
96,AIOZ Network,AIOZ,$1.10,0.57%,3.71%,2.97%,"$1,259,019,624","$13,875,214","1,143,654,848 AIOZ",2024-12-15 17:15:10
97,XDC Network,XDC,$0.08392,0.64%,2.79%,9.71%,"$1,253,183,837","$35,114,902","14,932,919,360 XDC",2024-12-15 17:15:10
98,Decentraland,MANA,$0.6323,-0.13%,4.48%,14.65%,"$1,228,022,351","$129,005,475","1,942,255,184 MANA",2024-12-15 17:15:10
99,Axie Infinity,AXS,$7.77,-0.38%,2.97%,16.76%,"$1,210,530,266","$91,118,263","155,810,087 AXS",2024-12-15 17:15:10
100,GateToken,GT,$13.60,0.73%,0.76%,5.03%,"$1,206,540,057","$7,705,398","88,721,913 GT",2024-12-15 17:15:10
101,ApeCoin,APE,$1.59,-0.25%,3.34%,15.18%,"$1,199,108,847","$156,646,607","752,651,515 APE",2024-12-15 17:15:24
102,Polygon,MATIC,$0.6093,-0.28%,1.60%,13.19%,"$1,192,495,705","$5,344,470","1,957,230,559 MATIC",2024-12-15 17:15:24
103,Mog Coin,MOG,$0.053031,-0.73%,-1.07%,21.15%,"$1,184,140,037","$36,015,550","390,567,526,433,217 MOG",2024-12-15 17:15:24
104,Peanut the Squirrel,PNUT,$1.17,-0.40%,1.06%,18.84%,"$1,166,659,588","$337,368,248","999,854,823 PNUT",2024-12-15 17:15:24
105,Popcat (SOL),POPCAT,$1.15,0.20%,3.50%,24.40%,"$1,123,918,769","$118,359,401","979,973,185 POPCAT",2024-12-15 17:15:24
106,Chiliz,CHZ,$0.1123,-0.39%,1.49%,16.10%,"$1,033,998,191","$118,734,654","9,206,791,217 CHZ",2024-12-15 17:15:24
107,EigenLayer,EIGEN,$4.89,-0.07%,6.70%,1.67%,"$1,030,758,231","$169,830,119","210,808,570 EIGEN",2024-12-15 17:15:24
108,Synthetix,SNX,$2.99,-0.45%,-0.81%,14.73%,"$1,013,853,661","$62,493,796","339,466,217 SNX",2024-12-15 17:15:24
109,SuperVerse,SUPER,$2.07,-0.96%,3.84%,0.99%,"$1,012,578,300","$32,497,184","488,035,093 SUPER",2024-12-15 17:15:24
110,Mina,MINA,$0.8367,-0.37%,2.14%,10.89%,"$999,149,265","$99,120,532","1,194,213,253 MINA",2024-12-15 17:15:24
111,Conflux,CFX,$0.2108,-0.83%,2.45%,15.53%,"$996,291,336","$80,961,674","4,725,612,534 CFX",2024-12-15 17:15:24
112,Pendle,PENDLE,$5.97,-0.14%,3.41%,10.99%,"$983,179,493","$45,279,976","164,777,157 PENDLE",2024-12-15 17:15:24
113,Zcash,ZEC,$59.28,-0.42%,0.69%,19.94%,"$967,899,494","$116,199,069","16,328,269 ZEC",2024-12-15 17:15:24
114,PancakeSwap,CAKE,$3.34,-0.79%,1.51%,22.30%,"$965,190,637","$128,376,462","288,920,659 CAKE",2024-12-15 17:15:24
115,Compound,COMP,$108.54,-0.33%,-1.33%,8.61%,"$960,444,653","$73,897,835","8,848,713 COMP",2024-12-15 17:15:24
116,Nexo,NEXO,$1.49,-0.30%,0.68%,1.14%,"$960,434,561","$7,850,821","646,145,840 NEXO",2024-12-15 17:15:24
117,Wormhole,W,$0.3441,-1.70%,7.14%,10.21%,"$954,478,697","$166,766,500","2,773,552,635 W",2024-12-15 17:15:24
118,Akash Network,AKT,$3.84,-0.32%,2.41%,16.25%,"$953,855,365","$8,919,130","248,285,795 AKT",2024-12-15 17:15:24
119,FTX Token,FTT,$2.71,-1.67%,-2.83%,21.35%,"$890,009,761","$26,659,766","328,895,104 FTT",2024-12-15 17:15:24
120,Grass,GRASS,$3.61,1.60%,10.64%,18.01%,"$879,446,305","$141,700,526","243,905,091 GRASS",2024-12-15 17:15:24
121,eCash,XEC,$0.00004372,-0.46%,0.77%,18.16%,"$865,662,951","$45,743,572","19,798,076,547,584 XEC",2024-12-15 17:15:24
122,ZKsync,ZK,$0.2295,-0.76%,3.04%,9.37%,"$843,273,202","$92,212,922","3,675,000,000 ZK",2024-12-15 17:15:24
123,Axelar,AXL,$0.9622,-1.91%,8.27%,8.12%,"$840,892,433","$23,937,069","873,961,010 AXL",2024-12-15 17:15:24
124,Notcoin,NOT,$0.0081,0.13%,1.98%,18.53%,"$829,897,915","$105,795,325","102,456,957,534 NOT",2024-12-15 17:15:24
125,Amp,AMP,$0.01017,0.15%,7.42%,13.07%,"$820,737,876","$181,342,420","80,722,602,040 AMP",2024-12-15 17:15:24
126,Blur,BLUR,$0.3908,-0.39%,-3.22%,4.44%,"$810,156,819","$128,299,930","2,072,927,305 BLUR",2024-12-15 17:15:24
127,Ronin,RON,$2.16,-0.51%,0.92%,6.44%,"$798,595,638","$20,116,028","370,238,297 RON",2024-12-15 17:15:24
128,Goatseus Maximus,GOAT,$0.7902,-0.35%,-11.98%,5.14%,"$790,210,668","$254,930,302","999,996,557 GOAT",2024-12-15 17:15:24
129,Oasis,ROSE,$0.1117,-0.63%,3.06%,16.27%,"$789,088,501","$57,045,656","7,064,132,681 ROSE",2024-12-15 17:15:24
130,Reserve Rights,RSR,$0.01417,-0.13%,1.57%,19.88%,"$757,461,039","$50,522,585","53,473,336,211 RSR",2024-12-15 17:15:24
131,ORDI,ORDI,$35.64,-0.21%,2.03%,26.17%,"$748,351,636","$154,730,280","21,000,000 ORDI",2024-12-15 17:15:24
132,Gnosis,GNO,$288.32,0.17%,1.15%,2.79%,"$746,617,890","$7,206,883","2,589,588 GNO",2024-12-15 17:15:24
133,USDD,USDD,$0.9998,0.03%,0.09%,0.20%,"$744,619,455","$2,240,955","744,761,842 USDD",2024-12-15 17:15:24
134,Terra Classic,LUNC,$0.0001339,-0.49%,3.60%,17.75%,"$738,201,877","$77,965,485","5,512,921,512,094 LUNC",2024-12-15 17:15:24
135,Turbo,TURBO,$0.01103,-0.43%,0.41%,0.63%,"$720,378,186","$165,472,127","65,300,000,000 TURBO",2024-12-15 17:15:24
136,LayerZero,ZRO,$6.47,-0.07%,3.16%,2.06%,"$711,199,968","$115,130,371","110,000,000 ZRO",2024-12-15 17:15:24
137,Baby Doge Coin,BabyDoge,$0.084395,0.29%,-0.52%,2.44%,"$708,931,553","$170,095,824","161,290,487,076,736,288 BabyDoge",2024-12-15 17:15:24
138,cat in a dogs world,MEW,$0.00789,0.05%,0.84%,20.13%,"$701,364,652","$53,165,503","88,888,888,888 MEW",2024-12-15 17:15:24
139,Neiro (First Neiro On Ethereum),NEIRO,$0.001632,-0.26%,1.10%,13.73%,"$686,344,760","$208,529,842","420,682,695,336 NEIRO",2024-12-15 17:15:24
140,1inch Network,1INCH,$0.491,-0.53%,1.98%,12.66%,"$685,856,443","$72,193,221","1,396,883,733 1INCH",2024-12-15 17:15:24
141,SPX6900,SPX,$0.7157,0.69%,4.51%,2.25%,"$666,342,213","$31,916,080","930,993,090 SPX",2024-12-15 17:15:24
142,Tether Gold,XAUt,"$2,664.19",0.12%,0.19%,0.99%,"$656,786,108","$5,009,426","246,524 XAUt",2024-12-15 17:15:24
143,Nervos Network,CKB,$0.014,-0.55%,1.35%,17.46%,"$637,536,349","$56,698,733","45,553,227,017 CKB",2024-12-15 17:15:24
144,Gigachad,GIGA,$0.06839,1.22%,5.55%,11.65%,"$636,160,373","$16,367,441","9,302,411,888 GIGA",2024-12-15 17:15:24
145,Kusama,KSM,$39.67,-1.15%,6.05%,12.44%,"$628,670,528","$42,741,304","15,848,535 KSM",2024-12-15 17:15:24
146,Kava,KAVA,$0.5689,-0.74%,1.65%,19.66%,"$616,019,856","$24,274,377","1,082,853,872 KAVA",2024-12-15 17:15:24
147,Livepeer,LPT,$16.74,-0.85%,2.83%,20.38%,"$612,274,094","$63,225,770","36,566,391 LPT",2024-12-15 17:15:24
148,SushiSwap,SUSHI,$2.26,2.64%,4.49%,10.78%,"$593,749,837","$176,788,795","262,585,507 SUSHI",2024-12-15 17:15:24
149,Safe,SAFE,$1.27,0.34%,3.06%,14.82%,"$589,195,855","$27,192,503","463,757,969 SAFE",2024-12-15 17:15:24
150,APENFT,NFT,$0.065888,0.08%,1.78%,10.85%,"$588,835,142","$34,394,052","999,990,000,000,000 NFT",2024-12-15 17:15:24
151,Convex Finance,CVX,$6.07,-0.45%,-0.53%,10.71%,"$588,163,494","$49,334,693","96,888,944 CVX",2024-12-15 17:15:24
152,Astar,ASTR,$0.07666,-0.21%,3.22%,12.72%,"$569,590,640","$36,463,902","7,430,171,783 ASTR",2024-12-15 17:15:24
153,Theta Fuel,TFUEL,$0.08394,-1.85%,7.41%,8.56%,"$568,939,065","$32,350,731","6,778,135,365 TFUEL",2024-12-15 17:15:24
154,Trust Wallet Token,TWT,$1.37,-0.22%,1.81%,10.37%,"$568,904,109","$15,386,185","416,649,900 TWT",2024-12-15 17:15:24
155,BOOK OF MEME,BOME,$0.008266,-0.38%,3.47%,20.04%,"$569,978,632","$167,466,280","68,956,958,356 BOME",2024-12-15 17:15:24
156,DeXe,DEXE,$9.94,-0.66%,3.79%,10.09%,"$567,779,265","$2,506,502","57,103,740 DEXE",2024-12-15 17:15:24
157,Dash,DASH,$46.90,-0.51%,2.35%,20.70%,"$566,003,400","$96,742,493","12,067,696 DASH",2024-12-15 17:15:24
158,ether.fi,ETHFI,$2.69,-0.51%,5.20%,8.22%,"$563,336,416","$176,680,696","209,032,899 ETHFI",2024-12-15 17:15:24
159,Creditcoin,CTC,$1.35,-0.03%,2.27%,15.10%,"$556,743,717","$84,366,783","412,084,779 CTC",2024-12-15 17:15:24
160,Holo,HOT,$0.003177,-1.42%,3.25%,15.25%,"$555,178,004","$19,829,280","174,747,454,215 HOT",2024-12-15 17:15:24
161,Enjin Coin,ENJ,$0.3048,-0.92%,0.57%,15.77%,"$543,005,158","$39,101,145","1,781,271,762 ENJ",2024-12-15 17:15:24
162,WOO,WOO,$0.2866,-0.16%,3.06%,17.61%,"$533,506,305","$19,380,883","1,861,572,919 WOO",2024-12-15 17:15:24
163,Zilliqa,ZIL,$0.02757,-1.04%,2.14%,20.88%,"$531,507,426","$43,511,350","19,280,292,895 ZIL",2024-12-15 17:15:24
164,0x Protocol,ZRX,$0.6226,-0.32%,0.07%,17.47%,"$528,252,833","$72,462,885","848,396,563 ZRX",2024-12-15 17:15:24
165,PAX Gold,PAXG,"$2,651.04",-0.20%,-0.44%,0.84%,"$525,874,471","$6,498,712","198,365 PAXG",2024-12-15 17:15:24
166,io.net,IO,$4.11,-0.44%,2.10%,14.89%,"$516,923,518","$160,468,127","125,631,683 IO",2024-12-15 17:15:24
167,GMT,GMT,$0.1964,-0.56%,1.33%,18.14%,"$514,579,040","$30,758,472","2,619,465,283 GMT",2024-12-15 17:15:24
168,Act I : The AI Prophecy,ACT,$0.5417,-0.14%,-11.55%,9.81%,"$513,678,236","$267,556,311","948,246,433 ACT",2024-12-15 17:15:24
169,Echelon Prime,PRIME,$14.35,-0.09%,0.88%,5.62%,"$513,388,630","$11,199,990","35,773,841 PRIME",2024-12-15 17:15:24
170,Magic Eden,ME,$3.93,1.45%,0.93%,65.23%,"$515,848,889","$330,725,103","131,246,200 ME",2024-12-15 17:15:24
171,TrueUSD,TUSD,$1.00,-0.00%,0.03%,2.18%,"$498,004,187","$52,413,627","495,601,553 TUSD",2024-12-15 17:15:24
172,PayPal USD,PYUSD,$0.9996,-0.02%,-0.03%,0.03%,"$491,241,076","$6,238,006","491,435,585 PYUSD",2024-12-15 17:15:24
173,Harmony,ONE,$0.03427,-1.60%,4.75%,18.40%,"$490,776,508","$27,682,529","14,320,353,523 ONE",2024-12-15 17:15:24
174,Jito,JTO,$3.71,-0.86%,0.61%,3.66%,"$489,731,452","$60,088,581","131,857,502 JTO",2024-12-15 17:15:24
175,SATS (Ordinals),SATS,$0.062309,0.24%,3.94%,25.37%,"$485,079,298","$56,210,802","2,100,000,000,000,000 SATS",2024-12-15 17:15:24
176,Arkham,ARKM,$2.07,-0.47%,5.36%,14.33%,"$466,475,361","$79,049,233","225,100,000 ARKM",2024-12-15 17:15:24
177,Celo,CELO,$0.8353,-0.74%,1.49%,19.19%,"$465,006,074","$66,334,433","556,692,051 CELO",2024-12-15 17:15:24
178,dYdX (ethDYDX),ETHDYDX,$2.15,1.87%,4.65%,20.00%,"$464,751,195","$69,239,380","216,059,749 ETHDYDX",2024-12-15 17:15:24
179,Ankr,ANKR,$0.04624,-0.56%,2.98%,14.08%,"$462,402,681","$15,211,403","10,000,000,000 ANKR",2024-12-15 17:15:24
180,OriginTrail,TRAC,$1.09,0.22%,-0.68%,5.94%,"$453,452,209","$4,191,187","414,995,032 TRAC",2024-12-15 17:15:24
181,WEMIX,WEMIX,$1.09,-0.46%,-1.10%,10.08%,"$452,740,459","$2,759,460","414,492,831 WEMIX",2024-12-15 17:15:24
182,IoTeX,IOTX,$0.04772,-0.24%,3.93%,19.21%,"$450,565,884","$14,559,845","9,441,369,057 IOTX",2024-12-15 17:15:24
183,Dymension,DYM,$2.07,-0.41%,-0.85%,20.25%,"$452,642,566","$519,161,653","218,726,986 DYM",2024-12-15 17:15:24
184,Aevo,AEVO,$0.5026,0.05%,5.13%,16.86%,"$452,558,206","$92,884,860","900,355,020 AEVO",2024-12-15 17:15:24
185,EthereumPoW,ETHW,$4.18,-0.41%,2.36%,19.02%,"$450,323,919","$21,257,782","107,818,999 ETHW",2024-12-15 17:15:24
